doc_id,text,
1,"#TürkiyeninNabzı başladı...
@arslandidem'in konukları @gunaydingokhan, @yhacisalihoglu, Prof. Dr. Fuat Keyman, @hby34, Doç. Dr. Barış Doster ve @mervesebnem https://t.co/jrhlgN6tv4",
2,DEAŞ'ın füzecisi Adana'da atık toplarken yakalandı https://t.co/2swbGZcaji https://t.co/b62dZofJWo,
3,"#TürkiyeninNabzı'nda bu akşam 21.00'de @arslandidem'in konukları @gunaydingokhan, @yhacisalihoglu, Prof. Dr. Fuat Keyman, @hby34, Doç. Dr. Barış Doster ve @mervesebnem https://t.co/jrmxFOPmaE",
4,Anne Frank’ın günlüğünde iki yeni sayfa bulundu! Cinsel içerikli fıkralar yer alıyor... https://t.co/GKpfMOb1vx https://t.co/MBYbXBVnek,
5,Polisten kaçan çıplak çete üyesi camdan düştü https://t.co/ehxtIlD0P7 https://t.co/osLaxhQbkr,
6,Hakan Atilla'ya verilen ceza belli oldu... https://t.co/TSHQeLaQC6 https://t.co/BQGOUnlY2u,
7,BBC: Trump müttefiklerini şaşkına çevirdi... https://t.co/eXz2MHPe9y https://t.co/3WRVLF88jj,
8,"Başbakan Yardımcısı Recep Akdağ: İsrail ve Mısır, yaralıları taşıyacak uçağa izin vermedi... https://t.co/qF5sBzEuFe https://t.co/0X1eMuP8Mk",
9,İETT'den Ramazan'a özel otobüs hatları... https://t.co/rtfLkLoDAx https://t.co/06hdPvbu9T,
10,"Almanya'daki gelin, Diyarbakır'daki düğününe 'görüntülü' katıldı... https://t.co/yAW0GtBaJv https://t.co/pxFCzWkn7e",
11,SON DAKİKA! HAKAN ATİLLA'YA 32 AY CEZA // ATİLLA'NIN TUTUKLU KALDIĞI SÜRE CEZASINDAN DÜŞÜLECEK,
12,"SON DAKİKA! HAKAN ATİLLA'YA 32 AY CEZA // ABD, ESKİ HALKBANK YÖNETİCİSİ ATİLLA'NIN CEZASINI AÇIKLADI",
13,SON DAKİKA! HAKAN ATİLLA DAVASINDA KARAR // ABD MAHKEMESİ ATİLLA'YA 32 AY HAPİS CEZASI VERDİ,
14,Oruç metabolizmanızı yavaşlatmasın... İftardan sonra... https://t.co/ulm4OG4R52 https://t.co/xPd8FWNoiZ,
15,Okul bahçesinde yolcu uçağı! https://t.co/sWk8pwMof1 https://t.co/EuMjUiqimU,
16,Anadolu Farm firmasına üye topladığı ileri sürülen şüpheli gözaltına alındı... https://t.co/vny6DXOtdZ https://t.co/SPvRb26PkZ,
17,Kürdan ağırlığında robot böcek üretildi https://t.co/mQ1vvm82r2 https://t.co/uCCU6wMn5M,
18,"Büyükelçi gitti, başkonsolosa da yol göründü... https://t.co/1TJYUHQqbA https://t.co/Wy8GDf3Boc",
19,Baklavacılar isyan etti: Bir şartla baklava yaparız... https://t.co/3Yvd36aPnx https://t.co/1bYCvvW9bQ,
20,Futbolculara dayak! Taraftarlar antrenmanı bastı... https://t.co/4G6fRLhIPK https://t.co/Mvtot5QXvt,
21,Güneşin erittiği kadın organlarını bir bir kaybediyor! https://t.co/91LzQ0l2sw https://t.co/SyFhXXj6nD,
22,Avukat 'FETÖ propagandası'ndan tutuklandı https://t.co/yWiDLYaOCY https://t.co/60lOBkDB6p,
23,Türkiye'de gençlerin ne kadarı mutlu? https://t.co/W8eRRXCNKH https://t.co/CGpPGOXRT0,
24,Uzmanlar uyardı! Bugünden itibaren Türkiye çöl tozu etkisinde kalacak... https://t.co/nVRWB3sfhy https://t.co/9tUFkC7Dl1,
25,Arap Birliği Kudüs için olağanüstü toplandı https://t.co/UMN3gxG6sn https://t.co/vnamNhfo3u,
26,FETÖ'ye 'ankesörlü telefon' operasyonu... https://t.co/IknGWJQAG1 https://t.co/CJ57YTB1gp,
27,"Beşiktaş ve Trabzonspor, Sosa için rotayı çizdi: Takas formülü! https://t.co/gtK5VaABMx https://t.co/nhfU5kM81F",
28,"Washington Büyükelçisi Kılıç: Hükümetimiz çağırdı, geldik https://t.co/3aCRb9JZ4O https://t.co/EL6hKfroHF",
29,Felaket filmleri gibi... ABD'yi fırtına vurdu! https://t.co/UpBIg3lWI4 https://t.co/MUfiXSiZqI,
30,Kanada Başbakanı Trudeau'dan Ramazan mesajı... https://t.co/105FvdwWvc https://t.co/41cKxgMyAR,
31,Kaçak geçiş indirimine Avrasya Tüneli de dahil edildi... https://t.co/QOp9kLEYGQ https://t.co/AnUQAxZUAv,
32,Her 10 kişinin 3'ü hipertansiyon hastası https://t.co/tLSKPZ2X7O https://t.co/MZUkQgXNyM,
33,"#TürkiyeninNabzı'nda bu akşam 21.00'de @arslandidem'in konukları @gunaydingokhan, @yhacisalihoglu, Prof. Dr. Fuat Keyman, @hby34, Doç. Dr. Barış Doster ve @mervesebnem https://t.co/odzBlUp0pV",
34,Eşini keserle öldüren koca her şeyi itiraf etti https://t.co/PsN5RKKK9u https://t.co/QQ0BRy9B5H,
35,Onları toplayabilmek için ayılarla yarışıyorlar! https://t.co/1WPvdwKyo4 https://t.co/LsH7hqfqUP,
36,Cumhurbaşkanı Erdoğan'dan Kudüs için telefon diplomasisi... https://t.co/AxMqko6Y1j https://t.co/5Kx1mj01oE,
37,Görenler çok şaşırıyor! Bu ekmeğin tanesi 80 TL https://t.co/lM6Yj0Di1o https://t.co/i3GIq6H4FS,
38,'Her şey dahil' sistemini yanlış anladı! Bavulundan öyle şeyler çıktı ki... https://t.co/I6UGWsJrVj https://t.co/xftx0OclMk,
39,ABD'den sonra bir ülke daha Kudüs'te büyükelçilik açtı... https://t.co/0U6FZhBV8e https://t.co/SaMsVKnUc4,
40,En yüksek hacimli ilk 100 kripto paradan 93'ü düştü! İşte düşüş oranları... https://t.co/fA5sibkT0n https://t.co/UlLW1G2uaJ,
41,Eski sevgilisine dava açtı... Köpek kimde kalacak? https://t.co/ymbD6PJhG6 https://t.co/BgzIZA22aO,
42,Saplantılı hayranı korkuttu... 12 saat evinde kaldı! https://t.co/R7tfGPMh5d https://t.co/0s68VXw8CN,
43,İstanbul Boğazı'na EDS geliyor! https://t.co/nfk3d2lOyU https://t.co/8yZStqWjDS,
44,Whatsapp bu sabah değişti! https://t.co/yHS5LehDnt https://t.co/dW9myYqBVM,
45,Hindistan'da üst geçit çöktü: 18 ölü! https://t.co/syBwYGG1AX https://t.co/ZTG85tYmcx,
46,7 Mayıs''ta beyin ölümü gerçekleşen Salih Mirzabeyoğlu vefat etti... https://t.co/wuYfKiDco8 https://t.co/lRXmFrg8ip,
47,Endonezya'da polis merkezine bıçaklı saldırı! https://t.co/mvOwlgeTQ1 https://t.co/xZ2K7PvVnV,
48,Merkez Bankası'ndan dolardaki harekete ilişkin açıklama... https://t.co/W8awZdoEJA https://t.co/NMo2Zz9BpL,
49,"Sabah saatlerinde gözaltına alınan Barış Atay, adliyeye sevk edildi... https://t.co/2s0sOF5gKt https://t.co/DVR0wNs52g",
50,DEAŞ'ın füzecisi Adana'da atık toplarken yakalandı https://t.co/2swbGZcaji https://t.co/MIwq8IOLRs,
