doc_id,token_id,text,c_id,c_name
809,1,TürkiyeninNabzı,2,Event/Activity
809,3,arslandidem,11,ID
809,9,Fuat,3,Name
809,10,Keyman,3,Name
809,14,Barış,3,Name
809,15,Doster,3,Name
810,1,DEAŞ,6,Company
810,4,Adana,9,Place
811,1,TürkiyeninNabzı,2,Event/Activity
811,5,21,5,Date
811,6,00,5,Date
811,8,arslandidem,11,ID
811,10,gunaydingokhan,11,ID
811,11,yhacisalihoglu,11,ID
811,14,Fuat,3,Name
811,15,Keyman,3,Name
811,19,Barış,3,Name
811,20,Doster,3,Name
811,21,mervesebnem,11,ID
814,1,Hakan,3,Name
814,2,Atilla,3,Name
815,1,BBC,6,Company
815,2,Trump,3,Name
816,1,Başbakan,8,Job
816,2,Yardımcısı,8,Job
816,3,Recep,3,Name
816,4,Akdağ,3,Name
816,5,İsrail,9,Place
816,6,Mısır,9,Place
817,1,İETT,6,Company
817,3,Ramazan,2,Event/Activity
818,1,Almanya,9,Place
818,4,Diyarbakır,9,Place
819,3,HAKAN,3,Name
819,4,ATİLLA,3,Name
819,9,ATİLLA,3,Name
820,3,HAKAN,3,Name
820,4,ATİLLA,3,Name
820,9,ABD,9,Place
820,11,HALKBANK,6,Company
820,12,YÖNETİCİSİ,8,Job
820,13,ATİLLA,3,Name
821,3,HAKAN,3,Name
821,4,ATİLLA,3,Name
821,7,ABD,9,Place
821,9,ATİLLA,3,Name
823,1,Okul,9,Place
824,1,Anadolu,6,Company
824,2,Farm,6,Company
824,3,firmasına,6,Company
826,1,Büyükelçi,8,Job
826,3,başkonsolosa,8,Job
827,1,Baklavacılar,8,Job
828,1,Futbolculara,8,Job
830,1,Avukat,8,Job
831,1,Türkiye,9,Place
832,1,Uzmanlar,8,Job
832,5,Türkiye,9,Place
833,1,Arap,6,Company
833,2,Birliği,6,Company
833,3,Kudüs,8,Job
835,1,Beşiktaş,6,Company
835,2,Trabzonspor,6,Company
835,3,Sosa,3,Name
836,1,Washington,8,Job
836,2,Büyükelçisi,8,Job
836,3,Kılıç,3,Name
837,4,ABD,9,Place
838,1,Kanada,8,Job
838,2,Başbakanı,8,Job
838,3,Trudeau,3,Name
838,5,Ramazan,2,Event/Activity
841,8,arslandidem,11,ID
841,10,gunaydingokhan,11,ID
841,11,yhacisalihoglu,11,ID
841,12,Prof,8,Job
841,13,Dr,8,Job
841,14,Fuat,3,Name
841,15,Keyman,3,Name
841,17,Doç,8,Job
841,18,Dr,8,Job
841,19,Barış,3,Name
841,20,Doster,3,Name
841,21,mervesebnem,11,ID
844,1,Cumhurbaşkanı,8,Job
844,2,Erdoğan,3,Name
844,4,Kudüs,9,Place
847,1,ABD,9,Place
847,7,Kudüs,9,Place
847,9,büyükelçilik,8,Job
851,1,İstanbul,9,Place
851,2,Boğazı,9,Place
853,1,Hindistan,9,Place
854,1,7,5,Date
854,2,Mayıs,5,Date
854,7,Salih,3,Name
854,8,Mirzabeyoğlu,3,Name
855,1,Endonezya,3,Name
856,1,Merkez,6,Company
856,2,Bankası,6,Company
857,5,Barış,3,Name
857,6,Atay,3,Name
858,4,Adana,9,Place
859,1,Anne,3,Name
859,2,Frank,3,Name
860,1,Polisten,8,Job
861,1,BBC,6,Company
861,2,Trump,3,Name
862,1,Başbakan,8,Job
862,2,Yardımcısı,8,Job
862,3,Recep,3,Name
862,4,Akdağ,3,Name
862,5,İsrail,9,Place
862,6,Mısır,9,Place
863,1,İETT,6,Company
863,3,Ramazan,2,Event/Activity
864,1,Almanya,9,Place
864,4,Diyarbakır,9,Place
865,8,arslandidem,11,ID
865,10,gunaydingokhan,11,ID
865,11,yhacisalihoglu,11,ID
865,12,Prof,8,Job
865,13,Dr,8,Job
865,14,Fuat,3,Name
865,15,Keyman,3,Name
865,17,Doç,8,Job
865,18,Dr,8,Job
865,19,Barış,3,Name
865,20,Doster,3,Name
865,21,mervesebnem,11,ID
868,1,Anadolu,6,Company
868,2,Farm,6,Company
868,3,firmasına,6,Company
869,2,CUMHURBAŞKANI,8,Job
869,3,ERDOĞAN,3,Name
869,4,FİLİSTİN,9,Place
869,9,ALMANYA,9,Place
869,10,BAŞBAKANI,8,Job
869,11,MERKEL,3,Name
871,1,Büyükelçi,8,Job
871,3,başkonsolosa,8,Job
872,1,Baklavacılar,8,Job
873,1,Futbolculara,8,Job
874,2,TÜRK,6,Company
874,3,SİLAHLI,6,Company
874,4,KUVVETLERİ,6,Company
874,5,İDLİB,9,Place
874,7,12,9,Place
874,9,ATEŞKES,9,Place
874,10,GÖZLEM,9,Place
874,11,NOKTASININ,9,Place
876,1,Avukat,8,Job
878,5,Türkiye,8,Job
879,1,Arap,6,Company
879,2,Birliği,6,Company
879,3,Kudüs,8,Job
880,5,operasyonu,2,Event/Activity
881,1,Beşiktaş,6,Company
881,2,Trabzonspor,6,Company
881,3,Sosa,3,Name
882,1,Washington,8,Job
882,2,Büyükelçisi,8,Job
882,3,Kılıç,3,Name
883,4,ABD,9,Place
884,1,Kanada,8,Job
884,2,Başbakanı,8,Job
884,3,Trudeau,3,Name
884,5,Ramazan,2,Event/Activity
895,6,evinde,9,Place
896,1,İstanbul,9,Place
896,2,Boğazı,9,Place
897,1,Whatsapp,6,Company
900,1,Hindistan,9,Place
901,1,Seren,3,Name
901,2,Serengil,3,Name
901,5,Yaşar,3,Name
901,6,İpek,3,Name
902,1,Mısır,9,Place
902,2,Çarşısı,9,Place
903,1,7,5,Date
903,2,Mayıs,5,Date
903,7,Salih,3,Name
903,8,Mirzabeyoğlu,3,Name
904,1,Endonezya,9,Place
904,3,polis,6,Company
904,4,merkezine,6,Company
905,1,Merkez,6,Company
905,2,Bankası,6,Company
906,1,İsmailağa,6,Company
906,2,Cemaati,6,Company
907,1,Sivas,9,Place
907,2,merkeze,9,Place
907,4,Olukman,9,Place
907,5,köyünde,9,Place
907,7,Gökçe,3,Name
909,1,Güvenlik,6,Company
909,2,Şube,6,Company
909,3,Müdürlüğü,6,Company
909,6,polisler,8,Job
909,7,Barış,3,Name
909,8,Atay,3,Name
910,2,MERKEZ,6,Company
910,3,BANKASI,6,Company
911,4,Adana,9,Place
912,1,Ramazan,8,Job
912,3,Gaziantep,9,Place
912,5,İstanbul,9,Place
912,8,Çığcı,3,Name
912,12,Avcılar,9,Place
912,15,davulculuğu,8,Job
912,25,basakcubukcu,11,ID
912,27,ÖzelHaber,11,ID
913,1,Anadolu,6,Company
913,2,Farm,6,Company
915,1,Büyükelçi,8,Job
915,3,başkonsolosa,8,Job
916,1,Baklavacılar,8,Job
917,1,Futbolculara,8,Job
918,1,Habertürk,6,Company
918,10,ÂkilDağı,9,Place
918,12,muhabir_murat,11,ID
918,16,Âkil,9,Place
918,17,Dağı,9,Place
918,20,Perşembe,5,Date
918,23,Habertürk,6,Company
920,1,Avukat,8,Job
921,1,Türkiye,9,Place
922,1,Uzmanlar,8,Job
922,5,Türkiye,4,Address
923,5,operasyonu,2,Event/Activity
924,1,Beşiktaş,6,Company
924,2,Trabzonspor,6,Company
924,3,Sosa,3,Name
925,1,Kanada,9,Place
925,2,Başbakanı,8,Job
925,3,Trudeau,3,Name
929,1,ABD,9,Place
929,7,Kudüs,9,Place
929,9,büyükelçilik,6,Company
932,1,Zonguldak,9,Place
932,6,işçiler,8,Job
933,1,Whatsapp,6,Company
934,1,Fırat,2,Event/Activity
934,2,Kalkanı,2,Event/Activity
934,3,harekatının,2,Event/Activity
934,7,El,9,Place
934,8,Bab,9,Place
934,10,Akil,9,Place
934,11,Dağı,9,Place
934,20,muhabir_murat,11,ID
934,21,TSK,6,Company
934,25,Akil,9,Place
934,26,Dağı,9,Place
934,38,ÖzelHaber,11,ID
938,8,Pilotlar,6,Company
938,9,Odası,6,Company
938,11,muhabirimiz,8,Job
938,12,Serkantahmaz,11,ID
939,1,Hindistan,9,Place
940,1,Seren,3,Name
