doc_id,token_id,text,c_id,c_name
809,1,TürkiyeninNabzı,2,Event/Activity
809,2,başladı,1,Trash
809,3,arslandidem,11,ID
809,4,konukları,1,Trash
809,5,gunaydingokhan,1,Trash
809,6,yhacisalihoglu,1,Trash
809,7,Prof,1,Trash
809,8,Dr,1,Trash
809,9,Fuat,3,Name
809,10,Keyman,3,Name
809,11,hby34,1,Trash
809,12,Doç,1,Trash
809,13,Dr,1,Trash
809,14,Barış,3,Name
809,15,Doster,3,Name
809,16,mervesebnem,1,Trash
809,17,jrhlgN6tv4,1,Trash
810,1,DEAŞ,6,Company
810,2,ın,1,Trash
810,3,füzecisi,1,Trash
810,4,Adana,9,Place
810,5,da,1,Trash
810,6,atık,1,Trash
810,7,toplarken,1,Trash
810,8,yakalandı,1,Trash
810,9,2swbGZcaji,1,Trash
810,10,b62dZofJWo,1,Trash
811,1,TürkiyeninNabzı,2,Event/Activity
811,2,nda,1,Trash
811,3,bu,1,Trash
811,4,akşam,1,Trash
811,5,21,5,Date
811,6,0,5,Date
811,7,de,1,Trash
811,8,arslandidem,11,ID
811,9,konukları,1,Trash
811,10,gunaydingokhan,11,ID
811,11,yhacisalihoglu,11,ID
811,12,Prof,1,Trash
811,13,Dr,1,Trash
811,14,Fuat,3,Name
811,15,Keyman,3,Name
811,16,hby34,1,Trash
811,17,Doç,1,Trash
811,18,Dr,1,Trash
811,19,Barış,3,Name
811,20,Doster,3,Name
811,21,mervesebnem,11,ID
811,22,jrmxFOPmaE,1,Trash
814,1,Hakan,3,Name
814,2,Atilla,3,Name
814,3,ya,1,Trash
814,4,verilen,1,Trash
814,5,ceza,1,Trash
814,6,belli,1,Trash
814,7,oldu,1,Trash
814,8,TSHQeLaQC6,1,Trash
814,9,BQGOUnlY2u,1,Trash
815,1,BBC,6,Company
815,2,Trump,3,Name
815,3,müttefiklerini,1,Trash
815,4,şaşkına,1,Trash
815,5,çevirdi,1,Trash
815,6,eXz2MHPe9y,1,Trash
815,7,3WRVLF88jj,1,Trash
816,1,Başbakan,8,Job
816,2,Yardımcısı,8,Job
816,3,Recep,3,Name
816,4,Akdağ,3,Name
816,5,İsrail,9,Place
816,6,Mısır,9,Place
816,7,yaralıları,1,Trash
816,8,taşıyacak,1,Trash
816,9,uçağa,1,Trash
816,10,izin,1,Trash
816,11,vermedi,1,Trash
816,12,qF5sBzEuFe,1,Trash
816,13,0X1eMuP8Mk,1,Trash
817,1,İETT,6,Company
817,2,den,1,Trash
817,3,Ramazan,2,Event/Activity
817,4,a,1,Trash
817,5,özel,1,Trash
817,6,otobüs,1,Trash
817,7,hatları,1,Trash
817,8,rtfLkLoDAx,1,Trash
817,9,06hdPvbu9T,1,Trash
818,1,Almanya,9,Place
818,2,daki,1,Trash
818,3,gelin,1,Trash
818,4,Diyarbakır,9,Place
818,5,daki,1,Trash
818,6,düğününe,1,Trash
818,7,görüntülü,1,Trash
818,8,katıldı,1,Trash
818,9,yAW0GtBaJv,1,Trash
818,10,pxFCzWkn7e,1,Trash
819,1,SON,1,Trash
819,2,DAKİKA,1,Trash
819,3,HAKAN,3,Name
819,4,ATİLLA,3,Name
819,5,YA,1,Trash
819,6,32,1,Trash
819,7,AY,1,Trash
819,8,CEZA,1,Trash
819,9,ATİLLA,3,Name
819,10,NIN,1,Trash
819,11,TUTUKLU,1,Trash
819,12,KALDIĞI,1,Trash
819,13,SÜRE,1,Trash
819,14,CEZASINDAN,1,Trash
819,15,DÜŞÜLECEK,1,Trash
820,1,SON,1,Trash
820,2,DAKİKA,1,Trash
820,3,HAKAN,3,Name
820,4,ATİLLA,3,Name
820,5,YA,1,Trash
820,6,32,1,Trash
820,7,AY,1,Trash
820,8,CEZA,1,Trash
820,9,ABD,9,Place
820,10,ESKİ,1,Trash
820,11,HALKBANK,6,Company
820,12,YÖNETİCİSİ,8,Job
820,13,ATİLLA,3,Name
820,14,NIN,1,Trash
820,15,CEZASINI,1,Trash
820,16,AÇIKLADI,1,Trash
821,1,SON,1,Trash
821,2,DAKİKA,1,Trash
821,3,HAKAN,3,Name
821,4,ATİLLA,3,Name
821,5,DAVASINDA,1,Trash
821,6,KARAR,1,Trash
821,7,ABD,9,Place
821,8,MAHKEMESİ,1,Trash
821,9,ATİLLA,3,Name
821,10,YA,1,Trash
821,11,32,1,Trash
821,12,AY,1,Trash
821,13,HAPİS,1,Trash
821,14,CEZASI,1,Trash
821,15,VERDİ,1,Trash
822,1,Oruç,1,Trash
822,2,metabolizmanızı,1,Trash
822,3,yavaşlatmasın,1,Trash
822,4,İftardan,1,Trash
822,5,sonra,1,Trash
822,6,ulm4OG4R52,1,Trash
822,7,xPd8FWNoiZ,1,Trash
823,1,Okul,9,Place
823,2,bahçesinde,1,Trash
823,3,yolcu,1,Trash
823,4,uçağı,1,Trash
823,5,sWk8pwMof1,1,Trash
823,6,EuMjUiqimU,1,Trash
824,1,Anadolu,6,Company
824,2,Farm,6,Company
824,3,firmasına,6,Company
824,4,üye,1,Trash
824,5,topladığı,1,Trash
824,6,ileri,1,Trash
824,7,sürülen,1,Trash
824,8,şüpheli,1,Trash
824,9,gözaltına,1,Trash
824,10,alındı,1,Trash
824,11,vny6DXOtdZ,1,Trash
824,12,SPvRb26PkZ,1,Trash
825,1,Kürdan,1,Trash
825,2,ağırlığında,1,Trash
825,3,robot,1,Trash
825,4,böcek,1,Trash
825,5,üretildi,1,Trash
825,6,mQ1vvm82r2,1,Trash
825,7,uCCU6wMn5M,1,Trash
826,1,Büyükelçi,8,Job
826,2,gitti,1,Trash
826,3,başkonsolosa,8,Job
826,4,da,1,Trash
826,5,yol,1,Trash
826,6,göründü,1,Trash
826,7,1TJYUHQqbA,1,Trash
826,8,Wy8GDf3Boc,1,Trash
827,1,Baklavacılar,8,Job
827,2,isyan,1,Trash
827,3,etti,1,Trash
827,4,Bir,1,Trash
827,5,şartla,1,Trash
827,6,baklava,1,Trash
827,7,yaparız,1,Trash
827,8,3Yvd36aPnx,1,Trash
827,9,1bYCvvW9bQ,1,Trash
828,1,Futbolculara,8,Job
828,2,dayak,1,Trash
828,3,Taraftarlar,1,Trash
828,4,antrenmanı,1,Trash
828,5,bastı,1,Trash
828,6,4G6fRLhIPK,1,Trash
828,7,Mvtot5QXvt,1,Trash
829,1,Güneşin,1,Trash
829,2,erittiği,1,Trash
829,3,kadın,1,Trash
829,4,organlarını,1,Trash
829,5,bir,1,Trash
829,6,bir,1,Trash
829,7,kaybediyor,1,Trash
829,8,91LzQ0l2sw,1,Trash
829,9,SyFhXXj6nD,1,Trash
830,1,Avukat,8,Job
830,2,FETÖ,1,Trash
830,3,propagandası,1,Trash
830,4,ndan,1,Trash
830,5,tutuklandı,1,Trash
830,6,yWiDLYaOCY,1,Trash
830,7,60lOBkDB6p,1,Trash
831,1,Türkiye,9,Place
831,2,de,1,Trash
831,3,gençlerin,1,Trash
831,4,ne,1,Trash
831,5,kadarı,1,Trash
831,6,mutlu,1,Trash
831,7,W8eRRXCNKH,1,Trash
831,8,CGpPGOXRT0,1,Trash
832,1,Uzmanlar,8,Job
832,2,uyardı,1,Trash
832,3,Bugünden,1,Trash
832,4,itibaren,1,Trash
832,5,Türkiye,9,Place
832,6,çöl,1,Trash
832,7,tozu,1,Trash
832,8,etkisinde,1,Trash
832,9,kalacak,1,Trash
832,10,nVRWB3sfhy,1,Trash
832,11,9tUFkC7Dl1,1,Trash
833,1,Arap,6,Company
833,2,Birliği,6,Company
833,3,Kudüs,8,Job
833,4,için,1,Trash
833,5,olağanüstü,1,Trash
833,6,toplandı,1,Trash
833,7,UMN3gxG6sn,1,Trash
833,8,vnamNhfo3u,1,Trash
834,1,FETÖ,1,Trash
834,2,ye,1,Trash
834,3,ankesörlü,1,Trash
834,4,telefon,1,Trash
834,5,operasyonu,1,Trash
834,6,IknGWJQAG1,1,Trash
834,7,CJ57YTB1gp,1,Trash
835,1,Beşiktaş,6,Company
835,2,Trabzonspor,6,Company
835,3,Sosa,3,Name
835,4,için,1,Trash
835,5,rotayı,1,Trash
835,6,çizdi,1,Trash
835,7,Takas,1,Trash
835,8,formülü,1,Trash
835,9,gtK5VaABMx,1,Trash
835,10,nhfU5kM81F,1,Trash
836,1,Washington,8,Job
836,2,Büyükelçisi,8,Job
836,3,Kılıç,3,Name
836,4,Hükümetimiz,1,Trash
836,5,çağırdı,1,Trash
836,6,geldik,1,Trash
836,7,3aCRb9JZ4O,1,Trash
836,8,EL6hKfroHF,1,Trash
837,1,Felaket,1,Trash
837,2,filmleri,1,Trash
837,3,gibi,1,Trash
837,4,ABD,9,Place
837,5,yi,1,Trash
837,6,fırtına,1,Trash
837,7,vurdu,1,Trash
837,8,UpBIg3lWI4,1,Trash
837,9,MUfiXSiZqI,1,Trash
838,1,Kanada,8,Job
838,2,Başbakanı,8,Job
838,3,Trudeau,3,Name
838,4,dan,1,Trash
838,5,Ramazan,2,Event/Activity
838,6,mesajı,1,Trash
838,7,105FvdwWvc,1,Trash
838,8,41cKxgMyAR,1,Trash
839,1,Kaçak,1,Trash
839,2,geçiş,1,Trash
839,3,indirimine,1,Trash
839,4,Avrasya,1,Trash
839,5,Tüneli,1,Trash
839,6,de,1,Trash
839,7,dahil,1,Trash
839,8,edildi,1,Trash
839,9,QOp9kLEYGQ,1,Trash
839,10,AnUQAxZUAv,1,Trash
840,1,Her,1,Trash
840,2,10,1,Trash
840,3,kişinin,1,Trash
840,4,3,1,Trash
840,5,ü,1,Trash
840,6,hipertansiyon,1,Trash
840,7,hastası,1,Trash
840,8,tLSKPZ2X7O,1,Trash
840,9,MZUkQgXNyM,1,Trash
841,1,TürkiyeninNabzı,1,Trash
841,2,nda,1,Trash
841,3,bu,1,Trash
841,4,akşam,1,Trash
841,5,21,1,Trash
841,6,0,1,Trash
841,7,de,1,Trash
841,8,arslandidem,11,ID
841,9,konukları,1,Trash
841,10,gunaydingokhan,11,ID
841,11,yhacisalihoglu,11,ID
841,12,Prof,8,Job
841,13,Dr,8,Job
841,14,Fuat,3,Name
841,15,Keyman,3,Name
841,16,hby34,1,Trash
841,17,Doç,8,Job
841,18,Dr,8,Job
841,19,Barış,3,Name
841,20,Doster,3,Name
841,21,mervesebnem,11,ID
